date,crosswikiupload_good,crosswikiupload_bad,uploadwizard_good,uploadwizard_bad,gwtoolset_good,gwtoolset_bad,vicuna_good,vicuna_bad,magnusoauth_good,magnusoauth_bad,androidapp_good,androidapp_bad,iosapp_good,iosapp_bad,other_good,other_bad
2016-07-01,293,67,249,100,0,0,0,0,0,0,1,0,0,0,15,28
2016-07-02,221,84,133,71,0,0,0,0,1,0,0,0,0,0,18,12
2016-07-03,245,65,188,60,0,0,0,0,0,0,1,1,0,0,13,20
2016-07-04,327,72,231,59,0,0,0,0,3,0,2,0,0,0,26,15
2016-07-05,375,83,238,61,0,0,0,0,1,0,1,0,0,0,18,20
2016-07-06,277,69,175,84,0,0,0,0,0,0,2,0,0,0,23,20
2016-07-07,122,29,237,80,0,0,0,0,0,0,0,0,0,0,20,22
2016-07-08,100,35,209,88,0,0,0,0,1,0,4,0,0,0,27,20
2016-07-09,81,35,164,89,0,0,0,0,3,0,1,0,0,0,11,18
2016-07-10,83,36,166,87,0,0,0,0,0,0,1,0,0,0,16,16
2016-07-11,133,38,228,100,0,0,0,0,0,0,1,0,0,0,22,19
2016-07-12,172,44,271,100,0,0,0,0,1,0,0,0,0,0,22,22
2016-07-13,342,86,225,87,0,0,0,0,0,0,2,1,0,0,19,14
2016-07-14,210,58,246,95,0,0,0,0,1,0,1,2,0,0,22,20
2016-07-15,68,115,211,90,0,0,0,0,1,0,2,0,0,0,16,15
2016-07-16,60,118,137,62,0,0,0,0,1,0,1,1,0,0,14,18
2016-07-17,61,95,161,71,0,0,0,0,1,0,1,0,0,0,18,17
2016-07-18,92,156,222,83,0,0,0,0,1,0,2,1,0,0,22,16
2016-07-19,149,110,244,106,0,0,0,0,1,0,1,1,0,0,15,24
2016-07-20,123,132,193,107,0,0,0,0,1,0,2,0,0,0,18,21
2016-07-21,112,100,184,151,0,0,0,0,0,0,3,1,0,0,14,29
2016-07-22,125,107,231,108,0,0,0,0,1,0,1,1,0,0,12,21
2016-07-23,80,77,130,121,0,0,0,0,0,0,3,0,0,0,11,19
2016-07-24,83,68,154,79,0,0,0,0,0,0,3,1,0,0,15,14
2016-07-25,126,115,300,124,0,0,0,0,0,0,3,1,0,0,20,25
2016-07-26,143,103,309,104,0,0,0,0,0,0,2,0,0,0,17,26
2016-07-27,127,106,259,100,0,0,0,0,0,0,3,3,0,0,18,21
2016-07-28,178,57,255,98,0,0,0,0,0,0,6,0,0,0,15,19
2016-07-29,170,43,239,80,0,0,0,0,0,0,2,0,0,0,20,12
2016-07-30,133,42,210,56,0,0,0,0,0,1,3,2,0,0,9,17
2016-07-31,133,35,184,86,0,0,0,0,1,0,3,0,0,0,13,14
2016-08-01,198,42,259,95,0,0,0,0,0,0,4,1,0,0,31,21
2016-08-02,194,37,251,91,0,0,0,0,3,0,1,0,0,0,16,19
2016-08-03,201,65,245,113,0,0,0,0,0,0,2,1,0,0,15,19
2016-08-04,143,50,254,90,0,0,0,0,0,0,4,0,0,0,27,16
2016-08-05,90,44,216,99,0,0,0,0,1,0,1,1,0,0,19,18
2016-08-06,64,26,173,95,0,0,0,0,0,0,1,3,0,0,2,11
2016-08-07,75,33,188,93,0,0,0,0,1,0,1,2,0,0,9,15
2016-08-08,106,34,263,117,0,0,0,0,0,0,1,4,0,0,17,21
2016-08-09,100,35,245,103,0,0,0,0,0,0,2,2,0,0,24,17
2016-08-10,83,55,256,146,0,0,0,0,0,0,3,2,0,0,20,21
2016-08-11,52,80,190,140,0,0,0,0,0,0,1,0,0,0,12,14
2016-08-12,107,33,234,112,0,0,1,0,0,0,0,1,0,0,30,11
2016-08-13,73,20,171,84,0,0,0,0,0,0,3,1,0,0,17,9
2016-08-14,66,33,190,90,0,0,0,0,0,0,1,1,0,0,14,6
2016-08-15,123,30,219,116,0,0,0,0,0,0,2,4,0,0,7,9
2016-08-16,111,24,226,116,0,0,0,0,0,0,10,0,0,0,18,6
2016-08-17,98,28,254,131,0,0,0,0,0,0,5,0,0,0,21,10
2016-08-18,45,15,217,106,0,0,0,0,0,0,3,0,0,0,20,13
2016-08-19,51,7,240,105,0,0,0,0,0,0,3,1,0,0,14,12
